		Data				
AL	Henry	480541.67	-1304022.89	15292	31.4243833376929	-85.2748424012556
AL	Houston	2393892.23	-6546730.42	76682	31.2184375733549	-85.3750609008633
AL	Jackson	1479036.47	-3661310.24	42604	34.715906252934	-85.9381804525397
AL	Jefferson	17815353.21	-46115841.01	531249	33.5348456373565	-86.8064523603809
AL	Lamar	398283.99	-1039359.4	11798	33.7586023054755	-88.0962366502797
AL	Lauderdale	2453753.83	-6169660.59	70437	34.836149040987	-87.5911891477491
AL	Lawrence	1101914.4	-2782935.24	31902	34.5406056046643	-87.2338800075231
AL	Lee	3102312.19	-8122366.54	95194	32.5893668718617	-85.3243538458306
AL	Limestone	2129862.44	-5320144.67	61206	34.7982622618697	-86.9219467045714
AL	Lowndes	407399.89	-1096372.02	12668	32.1597639722135	-86.5465756236186
AL	Macon	456537.52	-1206125.97	14069	32.4498912502665	-85.7293318643827
AL	Madison	9565238.37	-23858497.31	275421	34.7295172481401	-86.6255561848951
AL	Marengo	514100.71	-1393736.46	15877	32.3802172954588	-87.7833633557977
AL	Marion	703500.31	-1815242.07	20656	34.0579158597986	-87.8796509488768
AL	Marshall	2616060.2	-6581466.36	76282	34.2945937442647	-86.278104402087
AL	Mobile	9744882.27	-27974101.49	317549	30.6878065117509	-88.0938106874845
AL	Monroe	493804.77	-1369678.79	15681	31.4906428161469	-87.3463930871756
AL	Montgomery	5770223.36	-15391763.27	178412	32.3421258659731	-86.2708969688138
AL	Morgan	3146958.71	-7927039.38	91191	34.5095317520369	-86.9278698555778
AL	Perry	226348.62	-607474.26	6952	32.5587773302647	-87.3812226697353
AL	Pickens	511359.89	-1353012.31	15367	33.2764944361294	-88.0466135224832
AL	Pike	733281.19	-1982911.63	23074	31.7795436421947	-85.9370559937592
AL	Randolph	557762.37	-1434012.04	16790	33.2199148302561	-85.4086980345444
AL	Russell	1276203.67	-3347308.45	39358	32.4255213679557	-85.0477272727273
AL	Shelby	5089632.35	-13254602.23	152779	33.3136906904745	-86.7567023609266
AL	St Clair	1957142.91	-5020485.96	58145	33.6596940407602	-86.3442421532376
AL	Sumter	287338.89	-779246.75	8831	32.5375257615219	-88.2399218661533
AL	Talladega	1963386.83	-5073890.3	58883	33.3438654620179	-86.169018222577
AL	Tallapoosa	979771.57	-2557034.64	29784	32.8959028337362	-85.8526269137792
AL	Tuscaloosa	4594676.89	-12099661.5	138287	33.2256603296044	-87.496738666686
AL	Walker	1666523.23	-4299756.57	49268	33.8256724445888	-87.2728052691402
AL	Washington	378363.68	-1061440.48	12039	31.4281651299942	-88.1668311321538
AL	Wilcox	278432.01	-760441.32	8702	31.9963238336015	-87.3869593196966
AL	Winston	663436.16	-1697673.94	19411	34.1783607233012	-87.4593756117665
AR	Arkansas	516360.44	-1373007.99	15008	34.4056796375267	-91.4850739605544
AR	Ashley	562480.71	-1558097.89	16961	33.1631808266022	-91.8635628795472
AR	Baxter	1174708.31	-2987564.32	32340	36.323695423624	-92.3798491032777
AR	Benton	5941651.55	-15405544.66	163483	36.3441553556027	-94.2333126991797
AR	Boone	1009134.49	-2590560.36	27827	36.2645808028174	-93.0952082509793
AR	Bradley	278431.88	-763621.92	8292	33.5783743367101	-92.0914037626628
AR	Calhoun	93610.28	-257789.2	2788	33.5761406025825	-92.4638450502152
AR	Carroll	758787.44	-1952447.19	20868	36.3612919302281	-93.5617783208741
AR	Chicot	274896.81	-753361.97	8250	33.3208254545455	-91.3166024242424
AR	Clark	566154.18	-1546669.44	16605	34.0954037940379	-93.1448021680217
AR	Clay	359109.44	-892486.48	9877	36.3581492355979	-90.3600769464412
AR	Cleburne	676140.47	-1752974.72	19040	35.5115793067227	-92.068
AR	Cleveland	207430.08	-563912.44	6116	33.9159712230216	-92.2028188358404
AR	Columbia	596144.49	-1671673.45	17926	33.2558568559634	-93.2541252928707
AR	Conway	519579.05	-1368233.53	14760	35.2018326558266	-92.6987486449865
AR	Craighead	2479049.62	-6272903.61	69195	35.8270051304285	-90.6554463472794
AR	Crawford	1614204.32	-4290375.77	45504	35.4738994374121	-94.2856841156821
AR	Crittenden	1354620.16	-3474368.54	38514	35.1721493482889	-90.2105348704367
AR	Cross	479250.68	-1233729.28	13592	35.259761624485	-90.7687816362566
AR	Dallas	182225.06	-498255.18	5386	33.8330969179354	-92.5093167471222
AR	Desha	333490.07	-902827	9874	33.7745665383836	-91.4347782053879
AR	Drew	420552.58	-1148390.65	12509	33.62	-91.805152290351
AR	Faulkner	2843283.16	-7488751.17	81023	35.0922967552423	-92.4274733100478
AR	Franklin	460173.36	-1219872.25	12992	35.4197475369458	-93.8941079125616
AR	Fulton	335369.86	-845222.7	9220	36.3741713665944	-91.6727440347072
AR	Garland	2304167.9	-6215604.98	66779	34.5043786220219	-93.077239551356
AR	Grant	440846.79	-1188667.67	12860	34.280465785381	-92.4313895800933
AR	Greene	1076633.39	-2701798.47	29854	36.0632876666443	-90.5003842031219
AR	Hempstead	486057.03	-1351103.78	14433	33.6767844522968	-93.612123605626
AR	Hot Spring	772699.95	-2089655.22	22494	34.3513803680982	-92.8983382235263
AR	Howard	380667.16	-1052461.9	11210	33.9578198037467	-93.8859857270294
AR	Independence	881511.89	-2259883.97	24668	35.7350368898978	-91.6119657045565
AR	Izard	263474.56	-670588.66	7296	36.1121929824561	-91.9118229166667
AR	Jackson	438933.6	-1125385.32	12330	35.5988321167883	-91.2721265206813
AR	Jefferson	1933757.16	-5197986.21	56478	34.2391224901732	-92.0355927971954
AR	Johnson	615624.96	-1623341.08	17368	35.4459327498848	-93.4673583602027
AR	Lafayette	162012.81	-454957.16	4864	33.3085546875	-93.5356003289474
AR	Lawrence	344357.04	-869435.15	9551	36.0545534499005	-91.0307978222176
AR	Lee	177481.42	-463407.78	5104	34.7730054858934	-90.7930603448276
AR	Lincoln	254126.43	-686976.87	7484	33.9559633885623	-91.7927405130946
AR	Little River	308932.38	-863804.89	9170	33.6894634678299	-94.1990065430752
AR	Logan	604874.98	-1610465.94	17175	35.2183394468704	-93.768031441048
AR	Lonoke	1975952.09	-5207473.71	56618	34.899715461514	-91.9755856794659
AR	Madison	370054.41	-961493.06	10255	36.0852666991711	-93.7584651389566
AR	Marion	387225.39	-989498.69	10680	36.257058988764	-92.6496900749064
AR	Miller	1042076.38	-2931065.94	31184	33.417020908158	-93.9926224987173
AR	Mississippi	1187581.03	-2981608.97	33131	35.8450101113761	-89.994535933114
AR	Monroe	200923.44	-526942.92	5777	34.7798926778605	-91.2139380301194
AR	Montgomery	157841.83	-428218.44	4572	34.523584864392	-93.6610761154856
AR	Nevada	229621.74	-635307.39	6804	33.7480511463845	-93.3726322751323
AR	Newton	145607.84	-376560.53	4043	36.0148008904279	-93.1388894385357
AR	Ouachita	666628.6	-1843785.3	19860	33.5663947633434	-92.8391389728097
AR	Perry	271307.24	-718805.9	7750	35.0073858064516	-92.7491483870968
AR	Phillips	499703.34	-1312416.94	14471	34.5313620344137	-90.6928989012508
AR	Pike	264794.19	-724720.92	7743	34.1978806664084	-93.5969159240605
AR	Poinsett	624864.36	-1589237.24	17552	35.6007497721057	-90.5445100273473
AR	Polk	504214.18	-1376552.07	14603	34.528122988427	-94.2650188317469
AR	Pope	1639177.51	-4324681.47	46448	35.2905939975887	-93.1080233809852
AR	Prairie	197675.62	-519006.42	5671	34.8572773761241	-91.5193828248986
AR	Pulaski	10339143.37	-27450929.02	297411	34.7638230260481	-92.2996426493976
AR	Randolph	457350.01	-1147285.95	12609	36.2717114759299	-90.9894480133238
AR	Saline	3366162.05	-9008100.93	97285	34.6010387007247	-92.5949625327646
AR	Scott	197442.51	-532455.31	5659	34.89	-94.09
AR	Searcy	195138.08	-503618.76	5436	35.8973657100809	-92.6450993377483
AR	Sebastian	3329448.32	-8894101.33	94272	35.3174677528853	-94.3451006661575
AR	Sevier	386627.93	-1071861.29	11365	34.0191755389353	-94.3124760228773
AR	Sharp	419382.44	-1062127.99	11606	36.134968119938	-91.5154221954162
AR	St Francis	514174.12	-1332610.21	14685	35.0135594143684	-90.746354102826
AR	St. Francis	70020	-181560	2000	35.01	-90.78
AR	Stone	249577.86	-641007.78	6958	35.8691951710262	-92.125291750503
AR	Union	1111618.51	-3101906.33	33483	33.1994895917331	-92.6412307738255
AR	Van Buren	397094.24	-1031816.6	11166	35.5628013612753	-92.4070034031883
AR	Washington	5430367.26	-14166074.94	150442	36.0960852687414	-94.1630325308092
AR	White	1942417.2	-5060905.58	55151	35.2199815053218	-91.7645297456075
AR	Woodruff	176982	-458407.38	5023	35.234322118256	-91.261672307386
AR	Yell	553016.73	-1468280.16	15742	35.130017151569	-93.2715131495363
AZ	Apache	1537236.47	-4731601.23	43296	35.5052769308943	-109.284950803769
AZ	Cochise	3045139.32	-10582488.76	96177	31.6618247605976	-110.031387545879
AZ	Coconino	3264267.81	-10230531.95	91734	35.5840561841847	-111.523883729043
AZ	Gila	1149636.59	-3766023.13	33919	33.8935873699107	-111.029898581916
AZ	Graham	791507.73	-2643575	24078	32.8726526289559	-109.792133898164
AZ	Greenlee	191436.17	-633325.69	5797	33.0233172330516	-109.250593410385
AZ	La Paz	358766.45	-1208517.26	10586	33.8906527489137	-114.161842055545
AZ	Maricopa	94445526.14	-315915250.98	2819744	33.4943619491699	-112.036855466312
AZ	Mohave	4766307.66	-15552043.85	136159	35.0054543585073	-114.219727304108
AZ	Navajo	2433012.11	-7702785.24	69893	34.8105262329561	-110.208250325498
AZ	Pima	23468566.14	-80836356.11	728593	32.2108037546339	-110.948576379405
AZ	Pinal	773662.72	-2613695.69	23465	32.9709235030897	-111.386988706584
AZ	Santa Cruz	1179266.94	-4154542.29	37452	31.4874223005447	-110.929784524191
AZ	Yavapai	5765696.99	-18672902.54	166323	34.6656625361495	-112.268913740132
AZ	Yuma	4890099.33	-17177735.71	149860	32.6311179100494	-114.625221606833
CA	Alameda	44703159.01	-144784294.42	1185919	37.6949513499657	-122.086158009105
CA	Alpine	149270.82	-460237.01	3837	38.9030023455825	-119.947096690123
CA	Amador	1066711.5	-3351529.73	27772	38.4096031974651	-120.680171755725
CA	Butte	6055350.34	-18572928.5	152617	39.6767748022828	-121.69632806306
CA	Calaveras	1289822.68	-4076324.06	33796	38.1649508817612	-120.615577583146
CA	Colusa	669937.56	-2089336.9	17108	39.1593149403788	-122.126309328969
CA	Contra Costa	32204953.02	-103614923.81	849198	37.9239623974621	-122.015035139037
CA	Del Norte	707687.35	-2102291.82	16935	41.7884470032477	-124.138873339238
CA	El Dorado	5603390.15	-17476477.97	144707	38.7223157829269	-120.77147594795
CA	Fresno	23936859.42	-78007447.68	651400	36.7467906355542	-119.753527295057
CA	Glenn	831871.17	-2565156.87	20979	39.6525654225654	-122.2725997426
CA	Humboldt	3680194.66	-11206551.59	90326	40.7434698757833	-124.067838606824
CA	Imperial	5004371.97	-17602875.4	152330	32.8521759994748	-115.55750935469
CA	Inyo	579322.27	-1839732.75	15561	37.2291157380631	-118.227154424523
CA	Kern	19774327.63	-66521640.04	559397	35.3493630284038	-118.916690722331
CA	Kings	3443768.13	-11380485.61	95061	36.2269293401079	-119.717713994172
CA	Lake	1732114	-5455182.46	44445	38.9720778490269	-122.740071099111
CA	Lassen	811701.56	-2419240.08	20051	40.481849284325	-120.654335444616
CA	Los Angeles	248209688.86	-861645013.62	7287303	34.0605693025253	-118.239218764473
CA	Madera	3752122.09	-12152294.52	101296	37.0411673708735	-119.968157873954
CA	Marin	8072092.25	-26044001.75	212513	37.9839927439733	-122.552510905215
CA	Mariposa	543197.29	-1736360.83	14465	37.5525260974767	-120.038771517456
CA	Mendocino	2445013.37	-7681697.69	62255	39.2741686611517	-123.390855192354
CA	Merced	6459421.99	-20921802.06	173383	37.2552210424321	-120.668128132516
CA	Modoc	190443.63	-553711.35	4596	41.4368211488251	-120.476795039164
CA	Mono	331383.37	-1044664.67	8782	37.7343851058984	-118.955211796857
CA	Monterey	11466543.46	-38106165.75	313273	36.6023993769013	-121.638844554111
CA	Napa	4287472.26	-13636132.9	111547	38.4364640913696	-122.245626507212
CA	Nevada	2903799.79	-8949750.91	74030	39.2246358233149	-120.89356895853
CA	Orange	81458317.41	-284638345.27	2415213	33.7271774414927	-117.852274424657
CA	Placer	11341797.96	-35365674.92	291869	38.8592072470869	-121.169685441071
CA	Plumas	524048.65	-1584437.24	13110	39.9731998474447	-120.857150266972
CA	Riverside	52139809.44	-180654555.15	1543060	33.7898781900898	-117.075522111908
CA	Sacramento	41048373.26	-129196117.37	1064492	38.5614671223457	-121.368800676755
CA	San Benito	1580532.15	-5197508.43	42860	36.8766250583294	-121.267112225852
CA	San Bernardino	50235527.68	-172481454.39	1469748	34.1796877287807	-117.354440618392
CA	San Diego	80014670.1700001	-284957015.67	2433517	32.8802593817919	-117.096784476952
CA	San Francisco	23770121.29	-77084388.72	629591	37.7548619500596	-122.435658578347
CA	San Joaquin	18840430.82	-60264788.6	496829	37.9213588981319	-121.298854535464
CA	San Luis Obispo	7177720.16	-24502472.29	203073	35.3455169323347	-120.65844445101
CA	San Mateo	21858062.65	-71206146.85	582010	37.5561633820725	-122.345229205684
CA	Santa Barbara	10873809.18	-37741293.99	314289	34.5981220469059	-120.084679991982
CA	Santa Clara	55079501.6	-179950280.89	1476135	37.3133226974498	-121.906384504127
CA	Santa Cruz	7841343.3	-25838058.94	211945	36.9970666918304	-121.909263912808
CA	Shasta	5053094.11	-15220683.91	124461	40.5998193008252	-122.292797824218
CA	Sierra	46644.51	-141487.17	1177	39.63	-120.21
CA	Siskiyou	1366655.92	-4025239.57	32875	41.5712827376426	-122.440747376426
CA	Solano	12316834.3	-39321970.16	322169	38.2309728744851	-122.053860427291
CA	Sonoma	14718244.42	-47031155.97	383244	38.4043701140788	-122.718570858252
CA	Stanislaus	14236956.39	-45773775.28	378425	37.621606368501	-120.958645121226
CA	Sutter	2802518.93	-8729564.37	71739	39.0654864160359	-121.685057918287
CA	Tehama	1969725.43	-6007472.97	49093	40.1223276230827	-122.369237365816
CA	Trinity	304123.85	-918556.72	7470	40.7126974564926	-122.966093708166
CA	Tulare	10929099.15	-35958265.64	301623	36.2343029211963	-119.215927299974
CA	Tuolumne	1490928.14	-4723827.57	39263	37.9728533224664	-120.312446068818
CA	Ventura	23353352.63	-81169574.65	682030	34.2409463366714	-119.011736507192
CA	Yolo	5470130.54	-17241553.63	141657	38.6153210924981	-121.713389595996
CA	Yuba	1984877.63	-6160378.2	50717	39.1363375199637	-121.465745213636
CO	Adams	13876868.29	-36553674.39	348564	39.811536159787	-104.86933358006
CO	Alamosa	400909.59	-1132813.61	10700	37.4681859813084	-105.870430841121
CO	Arapahoe	19712951.08	-52104807.8	496859	39.6751413982639	-104.868398881775
CO	Archuleta	330058.12	-948606.89	8863	37.24	-107.03
CO	Baca	84096.9	-230510.84	2249	37.3930191196087	-102.494815473544
CO	Bent	94655.22	-256708.14	2487	38.06	-103.22
CO	Boulder	8904218.37	-23374939.68	222246	40.0646957425555	-105.175974730704
CO	Broomfield	2117876.7	-5569950.34	53021	39.9441108240131	-105.051778351974
CO	Chaffee	542587.53	-1488599.94	14035	38.6596031350196	-106.063408621304
CO	Cheyenne	36636.64	-96618.4	944	38.81	-102.35
CO	Clear Creek	159668.4	-424138.44	4018	39.7382777501244	-105.559591836735
CO	Conejos	151821.18	-432787.03	4084	37.1746278158668	-105.971358961802
CO	Costilla	111998.1	-317004.18	3002	37.3078281145903	-105.597661558961
CO	Crowley	65818.86	-178869.55	1723	38.2001508995937	-103.81285548462
CO	Custer	113779.92	-314692.64	2984	38.13	-105.46
CO	Delta	902142.6	-2509338.22	23252	38.7984947531395	-107.919242215723
CO	Denver	16652486.54	-43944742.63	418989	39.744448040402	-104.88280749614
CO	Dolores	43612.8	-125779.5	1155	37.76	-108.9
CO	Douglas	9605325.28	-25512517.73	243238	39.4894107006307	-104.887056010985
CO	Eagle	1619321.82	-4361171.39	40884	39.6077149985324	-106.671837149007
CO	El Paso	18952139.78	-51073692.93	487587	38.8692474983952	-104.747856136443
CO	Elbert	653311.32	-1737120.08	16616	39.3182065479056	-104.545021665864
CO	Fremont	1142212.03	-3127478.37	29724	38.4272651729242	-105.217277957206
CO	Garfield	1492681.16	-4064347.61	37765	39.5255172779028	-107.622073613134
CO	Gilpin	139741.42	-370287.81	3510	39.8123703703704	-105.495102564103
CO	Grand	454412.38	-1202425.73	11350	40.0363330396476	-105.940592951542
CO	Gunnison	403670.72	-1116883.2	10444	38.6509689774033	-106.94017617771
CO	Hinsdale	25430.76	-71676.4	668	38.07	-107.3
CO	Huerfano	167165.46	-466185.43	4447	37.5906138970092	-104.83144366989
CO	Jackson	40119.05	-104685.8	985	40.73	-106.28
CO	Jefferson	17921119.12	-47379895.26	450994	39.7369346820578	-105.056597781789
CO	Kiowa	29745.04	-79441.21	773	38.48	-102.77
CO	Kit Carson	203134.23	-529529.01	5169	39.2985548461985	-102.443221125943
CO	La Plata	1523700.32	-4412518.92	40928	37.2287998436278	-107.81174061767
CO	Lake	199496.16	-540378.36	5084	39.24	-106.29
CO	Larimer	9536609.86	-24744599.86	235476	40.4992859569553	-105.083319998641
CO	Las Animas	392448.63	-1103634.21	10557	37.1742568911623	-104.540514350668
CO	Lincoln	130174.43	-344659.66	3324	39.1619825511432	-103.688225030084
CO	Logan	560201.7	-1422891	13791	40.6208179247335	-103.17533173809
CO	Mesa	4564974.57	-12680303.53	116805	39.0820133555926	-108.55959530842
CO	Mineral	25170.25	-71101.8	665	37.85	-106.92
CO	Moffat	426432.48	-1131856.2	10524	40.52	-107.55
CO	Montezuma	715580.84	-2077912.29	19148	37.3710486734907	-108.518502715688
CO	Montrose	1294749.58	-3631823.47	33657	38.4689538580384	-107.906927830763
CO	Morgan	838284.7	-2161072.99	20823	40.2576333861595	-103.78297987802
CO	Otero	532451.9	-1451753.24	14005	38.01870046412	-103.659638700464
CO	Ouray	130551.05	-368872.1	3424	38.1282272196262	-107.731337616822
CO	Park	405864.85	-1091096.49	10332	39.2823122338366	-105.603609175377
CO	Phillips	144782.38	-365197	3566	40.6007795849692	-102.410824453169
CO	Pitkin	966716.16	-2633102.1	24604	39.2910160949439	-107.019269224516
CO	Prowers	363284.06	-978179.08	9540	38.0800901467505	-102.53449475891
CO	Pueblo	4529707.78	-12387456.91	118398	38.2583133161033	-104.625558793223
CO	Rio Blanco	215254.32	-581619.29	5373	40.0622222222222	-108.248518518519
CO	Rio Grande	349889.98	-988529.57	9304	37.6064036973345	-106.247804170249
CO	Routt	788876.64	-2084099.52	19500	40.4552123076923	-106.876898461538
CO	Saguache	151528.66	-424413.48	4003	37.8537746689983	-106.023852110917
CO	San Juan	17926.68	-51021.36	474	37.82	-107.64
CO	San Miguel	212059.18	-602898.66	5583	37.9830162994806	-107.988296614723
CO	Sedgwick	53765.76	-134165.12	1312	40.98	-102.26
CO	Summit	969651.91	-2598148.08	24498	39.5808600702098	-106.05551800147
CO	Teller	767776.4	-2072163.32	19711	38.9516716554208	-105.127254832327
CO	Washington	114197.56	-293310.74	2844	40.1538537271449	-103.133171589311
CO	Weld	8101705.62	-21066464.09	200957	40.3156178684992	-104.830705524067
CO	Yuma	261311.09	-667916.74	6517	40.0968375019181	-102.488375019181
CT	Fairfield	30969086.14	-55145073.52	751636	41.2022390359163	-73.3667274052866
CT	Hartford	30609584.04	-53307885.67	733075	41.755051038434	-72.7181880025918
CT	Litchfield	6748639.85	-11835742.72	161732	41.7273010288626	-73.181205450993
CT	Middlesex	5801857.48	-10152481.7	139924	41.4643483605386	-72.5571145764844
CT	New Haven	28329429.34	-49918543.93	684444	41.3904268866408	-72.9329849191461
CT	New London	9385688.83	-16328916.8	226478	41.4419450454349	-72.0993509303332
CT	Tolland	4930894.83	-8524750.74	117833	41.84646771278	-72.3460383763462
CT	Windham	3838665.78	-6610249.63	91831	41.8014154261633	-71.9827686728882
DC	District of Columbia	16289426.51	-32264708.77	418859	38.89	-77.03
DE	Kent	4773851.23	-9217453.25	122003	39.1289659270674	-75.5510376794013
DE	New Castle	17055566.9	-32509705.15	429911	39.6723203174611	-75.6196169672328
DE	Sussex	6215489.82	-12112925.1	160728	38.6708589667015	-75.3628807675078
FL	Alachua	5090462.52	-14129044.96	171522	29.6781900864029	-82.3745348118609
FL	Baker	574926.83	-1560314.75	18992	30.2720529696714	-82.1564211246841
FL	Bay	4174979.65	-11846697	138284	30.1913428162333	-85.6693254461832
FL	Bradford	496401.72	-1361208.22	16576	29.94701496139	-82.1192217664093
FL	Brevard	12442597.47	-35587644.05	441169	28.2036985146282	-80.6666924693258
FL	Broward	36764233.57	-112765408.85	1406947	26.1305035441989	-80.1490097708016
FL	Calhoun	259604.91	-724574.36	8516	30.4843717707844	-85.0838844527947
FL	Charlotte	3291637.89	-10034409.96	122194	26.937802919947	-82.1186798042457
FL	Citrus	3146625.58	-8989346.55	109015	28.864152456084	-82.4597215979453
FL	Clay	4739084.23	-12883265.93	157552	30.0794926754341	-81.7715162612979
FL	Collier	6669543.74	-20856221.95	255084	26.1464605384893	-81.7621722648226
FL	Columbia	1433014.98	-3928014	47526	30.1522320414089	-82.6497916929681
FL	DeSoto	533708.22	-1605707.73	19617	27.2064138247438	-81.8528689402049
FL	Dixie	262587.9	-736468.7	8870	29.6040473506201	-83.0291657271702
FL	Duval	21229272.18	-57141195.2	699976	30.3285715224522	-81.6330777055213
FL	Escambia	6963583.01	-19926911.12	228513	30.4734654483552	-87.20252729604
FL	Flagler	2229809.59	-6127031.82	75450	29.5534736911862	-81.2065184890656
FL	Franklin	213847.65	-609701.8	7185	29.7630688935282	-84.8575922059847
FL	Gadsden	1084934.66	-2998040.89	35450	30.6046448519041	-84.5709700987306
FL	Gilchrist	330078.77	-921933.06	11131	29.654008624562	-82.825717365915
FL	Glades	95461.14	-288518.22	3558	26.83	-81.09
FL	Gulf	315708.69	-898469.07	10543	29.9448629422366	-85.2194887603149
FL	Hamilton	285058.08	-775380.4	9348	30.4940179717587	-82.9461275139067
FL	Hardee	498556.64	-1480632.3	18099	27.5460876291508	-81.8074092491298
FL	Hendry	734074.26	-2231351.61	27501	26.6926388131341	-81.1371081051598
FL	Hernando	3609268.46	-10441663.14	126629	28.5027004872502	-82.4587032986125
FL	Highlands	1939950.74	-5754901.99	70668	27.4516151582046	-81.4357557876266
FL	Hillsborough	27540965.64	-81219037.09	985617	27.9428679091371	-82.4042575259964
FL	Holmes	361425.54	-1006664.16	11744	30.7753354904632	-85.7173160762943
FL	Indian River	3103706.78	-9019240.87	112157	27.6728762359906	-80.4162100448479
